method,game,iter,reward
brute,airstriker,1019,500
brute,airstriker,1020,840
brute,airstriker,1021,180
brute,airstriker,1022,1020
brute,airstriker,1023,940
brute,airstriker,1024,160
brute,airstriker,1025,1020
brute,airstriker,1026,1020
brute,airstriker,1027,440
brute,airstriker,1028,1020
brute,airstriker,1029,740
brute,airstriker,1030,940
brute,airstriker,1031,1000
brute,airstriker,1032,400
brute,airstriker,1033,220
brute,airstriker,1034,960
brute,airstriker,1035,1000
brute,airstriker,1036,260
brute,airstriker,1037,1020
brute,airstriker,1038,1000
brute,airstriker,1039,1020
brute,airstriker,1040,420
brute,airstriker,1041,180
brute,airstriker,1042,1020
brute,airstriker,1043,500
brute,airstriker,1044,460
brute,airstriker,1045,940
brute,airstriker,1046,980
brute,airstriker,1047,940
brute,airstriker,1048,1020
brute,airstriker,1049,540
brute,airstriker,1050,680
brute,airstriker,1051,560
brute,airstriker,1052,920
brute,airstriker,1053,620
brute,airstriker,1054,280
brute,airstriker,1055,1020
brute,airstriker,1056,1020
brute,airstriker,1057,1020
brute,airstriker,1058,280
brute,airstriker,1059,1020
brute,airstriker,1060,100
brute,airstriker,1061,400
brute,airstriker,1062,520
brute,airstriker,1063,520
brute,airstriker,1064,1020
brute,airstriker,1065,300
brute,airstriker,1066,1020
brute,airstriker,1067,100
brute,airstriker,1068,940
brute,airstriker,1069,980
brute,airstriker,1070,980
brute,airstriker,1071,460
brute,airstriker,1072,980
brute,airstriker,1073,920
brute,airstriker,1074,500
brute,airstriker,1075,1020
brute,airstriker,1076,1020
brute,airstriker,1077,940
brute,airstriker,1078,680
brute,airstriker,1079,280
brute,airstriker,1080,1020
brute,airstriker,1081,500
brute,airstriker,1082,1020
brute,airstriker,1083,1020
brute,airstriker,1084,180
brute,airstriker,1085,280
brute,airstriker,1086,720
brute,airstriker,1087,560
brute,airstriker,1088,700
brute,airstriker,1089,1020
brute,airstriker,1090,460
brute,airstriker,1091,820
brute,airstriker,1092,300
brute,airstriker,1093,440
brute,airstriker,1094,900
brute,airstriker,1095,360
brute,airstriker,1096,740
brute,airstriker,1097,620
brute,airstriker,1098,1020
brute,airstriker,1099,520
brute,airstriker,1100,980
brute,airstriker,1101,980
brute,airstriker,1102,1020
brute,airstriker,1103,680
brute,airstriker,1104,480
brute,airstriker,1105,1020
brute,airstriker,1106,160
brute,airstriker,1107,560
brute,airstriker,1108,1020
brute,airstriker,1109,420
brute,airstriker,1110,420
brute,airstriker,1111,340
brute,airstriker,1112,1020
brute,airstriker,1113,1020
brute,airstriker,1114,620
brute,airstriker,1115,280
brute,airstriker,1116,800
brute,airstriker,1117,980
brute,airstriker,1118,1020
brute,airstriker,1119,1020
brute,airstriker,1120,960
brute,airstriker,1121,340
brute,airstriker,1122,980
brute,airstriker,1123,680
brute,airstriker,1124,1020
brute,airstriker,1125,1020
brute,airstriker,1126,500
brute,airstriker,1127,1020
brute,airstriker,1128,620
brute,airstriker,1129,460
brute,airstriker,1130,520
brute,airstriker,1131,420
brute,airstriker,1132,400
brute,airstriker,1133,1020
brute,airstriker,1134,500
brute,airstriker,1135,820
brute,airstriker,1136,840
brute,airstriker,1137,1020
brute,airstriker,1138,680
